Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic3_10.param,0.039044,172,,
Bombastic3_5.param,0.000915,0,,
Bombastic3_6.param,0.034628,19,,
Bombastic3_7.param,0.034398,43,,
Bombastic3_8.param,0.034137,55,,
Bombastic3_9.param,0.036775,102,,
Bombastic5_10.param,0.044425,615,,
Bombastic5_11.param,0.021962,1611,,
Bombastic5_12.param,0.072993,3623,,
Bombastic5_13.param,0.116073,10295,,
Bombastic5_14.param,0.287556,23415,,
Bombastic5_15.param,0.719426,66824,,
BombasticNoSol_1.param,0.000302,0,,
BombasticNoSol_10.param,0.000973,0,,
BombasticNoSol_2.param,0.000622,0,,
BombasticNoSol_3.param,0.000743,0,,
BombasticNoSol_4.param,0.00084,0,,
BombasticNoSol_5.param,0.000985,0,,
BombasticNoSol_6.param,0.001114,0,,
BombasticNoSol_7.param,0.001212,0,,
BombasticNoSol_8.param,0.001098,0,,
BombasticNoSol_9.param,0.00034,0,,
